Time,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,Total
2026-02-02 01:49:25,1000.0,1000.0,1447.69,1000.0,1549.47,1580.01,1587.48,1491.15,1542.36,1508.11,1477.59,1300.0,311.31,0.0,1317.78,0.0,1188.5,1148.83,1136.71,1084.74,1097.3,1264.27,1419.32,1442.02,27894.63
2026-02-02 02:08:37,1000.0,1016.45,1447.93,1000.0,1551.08,1589.28,1594.91,1504.09,1545.2,1521.98,1489.62,1304.11,311.88,0.0,1309.79,0.0,1199.78,1164.11,1146.77,1098.88,1114.27,1285.31,1442.26,1456.88,28094.58,24000.0
2026-02-02 02:18:36,1000.0,1017.02,1474.2,1000.0,1556.01,1591.99,1599.64,1504.96,1548.16,1522.97,1491.75,1307.44,312.67,0.0,1314.65,0.0,1208.8,1175.96,1160.03,1112.11,1127.43,1303.44,1461.19,1482.22,28272.65,24000.0
2026-02-02 04:24:06,1000.0,1132.76,1699.04,1000.0,1585.96,1640.45,1644.8,1627.52,1638.6,1635.9,1614.14,1436.93,341.22,0.0,1363.44,0.0,1303.77,1293.75,1269.23,1231.99,1261.21,1439.96,1620.64,1685.79,30467.1,24000.0
2026-02-02 05:47:22,1000.0,1202.18,1814.98,1000.0,1695.54,1717.47,1706.12,1721.5,1723.62,1729.22,1688.51,1522.43,364.66,0.0,1436.85,0.0,1342.3,1366.8,1341.53,1313.19,1334.15,1520.07,1712.58,1803.4,32057.12,24000.0
2026-02-02 07:00:38,1000.0,1179.39,1770.93,1000.0,1661.42,1692.6,1676.02,1687.12,1697.19,1698.07,1656.82,1481.8,354.44,0.0,1404.62,0.0,1326.61,1340.13,1318.56,1293.23,1306.1,1504.55,1690.26,1777.56,31517.42,24000.0
2026-02-02 07:53:35,1000.0,1165.39,1772.97,1000.0,1679.57,1647.88,1704.45,1667.95,1740.52,1738.98,1695.22,1513.4,363.52,0.0,1425.49,0.0,1338.2,1354.82,1336.42,1303.04,1313.47,1503.37,1699.19,1760.33,31724.18,24000.0
2026-02-02 08:40:11,1000.0,1170.42,1760.81,1000.0,1689.0,1688.57,1713.82,1705.07,1739.24,1742.79,1695.57,1522.06,364.28,0.0,1424.08,0.0,1348.14,1366.14,1342.82,1304.43,1316.06,1515.43,1707.09,1758.33,31874.15,24000.0
2026-02-02 09:32:55,1000.0,1169.07,1769.91,1000.0,1643.87,1665.1,1692.24,1691.34,1766.47,1720.36,1683.5,1516.95,362.31,0.0,1415.16,0.0,1346.42,1367.16,1341.6,1308.37,1326.43,1538.23,1733.59,1773.64,31831.72,24000.0
2026-02-02 10:28:26,1000.0,1110.14,1680.68,1000.0,1581.95,1592.26,1696.42,1608.06,1664.04,1634.29,1678.04,1494.21,356.58,0.0,1405.33,0.0,1323.3,1322.96,1302.71,1264.04,1279.56,1492.7,1679.14,1706.87,30873.28,24000.0
2026-02-02 11:14:12,1000.0,1109.26,1685.82,1000.0,1579.53,1587.15,1696.4,1500.77,1680.45,1515.25,1708.43,1487.6,355.33,0.0,1410.46,0.0,1310.5,1320.24,1303.38,1253.32,1269.11,1496.54,1680.15,1709.55,30659.25,24000.0
2026-02-02 11:52:57,1000.0,1080.61,1640.58,1000.0,1505.07,1507.77,1711.76,1415.2,1604.17,1416.29,1655.18,1423.96,350.86,0.0,1387.27,0.0,1292.77,1295.06,1276.9,1222.61,1246.3,1472.06,1650.21,1665.12,29819.73,24000.0
2026-02-02 12:52:16,1000.0,1017.41,1548.35,1000.0,1404.78,1382.75,1716.2,1246.52,1481.27,1236.76,1546.07,1294.9,336.61,0.0,1345.21,0.0,1271.38,1246.36,1219.6,1169.68,1190.41,1423.62,1594.34,1599.65,28271.86,24000.0
2026-02-02 14:02:22,1000.0,1124.98,1715.5,1000.0,1551.14,1583.07,1714.77,1446.89,1679.3,1458.3,1763.96,1487.44,367.25,0.0,1453.71,0.0,1383.76,1368.96,1339.57,1301.3,1334.08,1588.62,1777.12,1793.67,31233.39,24000.0
2026-02-02 14:52:24,1000.0,1099.59,1691.26,1000.0,1503.44,1518.1,1730.96,1414.5,1613.61,1387.14,1706.01,1433.31,354.67,0.0,1379.56,0.0,1382.85,1360.42,1333.03,1298.2,1337.82,1593.62,1777.21,1752.92,30668.22,24000.0
2026-02-02 15:37:09,1000.0,1086.42,1670.21,1000.0,1490.57,1509.43,1699.31,1416.48,1631.78,1404.59,1719.18,1451.63,361.55,0.0,1386.48,1000.0,1356.19,1310.4,1286.44,1252.22,1291.65,1549.46,1722.0,1714.19,31310.19,25000.0
2026-02-02 16:07:57,1000.0,1081.01,1664.56,1000.0,1498.2,1522.34,1672.11,1431.78,1639.74,1433.75,1722.71,1461.88,366.15,0.0,1424.52,1005.74,1336.03,1282.75,1260.36,1224.86,1261.56,1526.32,1701.45,1682.82,31200.62,25000.0
2026-02-02 17:04:39,1000.0,1041.48,1596.34,1000.0,1482.47,1496.02,1655.53,1414.67,1600.03,1426.46,1682.37,1452.38,361.49,0.0,1428.92,1006.71,1337.73,1233.87,1204.5,1167.43,1214.95,1470.36,1634.24,1592.9,30500.84,25000.0
2026-02-02 18:00:07,1000.0,1045.6,1615.79,1000.0,1494.33,1510.52,1638.54,1498.26,1624.26,1553.86,1699.06,1538.64,379.99,0.0,1490.17,1034.18,1377.36,1259.02,1196.15,1160.17,1205.49,1493.54,1660.56,1620.63,31096.12,25000.0
2026-02-02 18:52:35,1000.0,999.52,1538.78,1000.0,1435.52,1462.21,1708.0,1483.09,1585.6,1445.86,1668.64,1466.46,365.08,0.0,1398.07,1041.8,1382.64,1308.74,1302.51,1152.42,1178.22,1463.0,1624.36,1585.86,30596.39,25000.0
2026-02-02 23:25:27,1000.0,972.19,1505.39,1000.0,1469.75,1440.24,1730.61,1563.6,1536.34,1437.14,1620.74,1468.4,364.22,0.0,1405.83,1056.36,1402.25,1330.26,1308.62,1124.06,1152.66,1432.71,1587.9,1563.71,30472.97,25000.0
2026-02-02 23:53:18,1000.0,996.96,1540.88,1000.0,1513.93,1481.45,1746.74,1633.5,1573.79,1507.13,1661.9,1526.38,375.26,0.0,1453.29,1081.5,1436.54,1359.98,1341.48,1141.15,1169.55,1448.55,1607.1,1603.97,31201.02,25000.0
2026-02-03 01:50:03,1000.0,978.05,1503.4,1000.0,1415.86,1446.21,1810.15,1639.66,1504.62,1470.2,1612.2,1498.72,367.3,0.0,1480.98,1103.91,1466.73,1392.67,1337.6,1179.48,1217.03,1469.04,1634.53,1641.29,31169.62,25000.0
2026-02-03 04:13:30,1000.0,913.1,1545.71,1000.0,1496.97,1512.64,1722.1,1680.63,1534.7,1570.04,1634.52,1583.4,382.48,0.0,1427.66,1063.21,1413.15,1280.42,1190.15,1125.8,1212.99,1441.97,1611.7,1582.5,30925.83,25000.0
2026-02-03 04:22:01,1000.0,905.22,1539.39,1000.0,1496.79,1497.71,1716.52,1660.64,1514.91,1551.32,1620.88,1570.48,379.49,0.0,1413.89,1052.99,1399.57,1286.91,1182.49,1129.98,1212.61,1431.82,1596.96,1580.16,30740.72,25000.0
2026-02-03 05:22:53,1000.0,898.64,1548.68,1000.0,1508.59,1526.67,1734.86,1685.42,1491.5,1501.27,1596.79,1577.58,376.82,0.0,1374.36,1027.79,1365.95,1241.15,1188.39,1175.31,1246.97,1499.28,1672.57,1549.58,30788.16,25000.0
2026-02-03 06:13:07,1000.0,909.7,1599.38,1000.0,1530.54,1515.66,1721.57,1688.49,1503.17,1517.36,1611.2,1602.91,381.23,0.0,1379.09,1032.79,1372.7,1241.26,1188.66,1197.51,1274.49,1544.79,1722.78,1559.76,31095.04,25000.0
2026-02-03 07:13:19,1000.0,879.55,1545.22,1000.0,1513.55,1455.59,1690.78,1706.9,1439.4,1490.23,1559.18,1609.81,384.63,0.0,1419.97,1051.79,1398.83,1263.81,1181.12,1140.11,1208.8,1499.86,1663.35,1565.16,30667.64,25000.0
